# step cpu_mb gpu_mb
504 1314.61 0.00
505 1314.61 0.00
506 1314.61 0.00
507 1314.61 0.00
508 1314.61 0.00
509 1314.61 0.00
510 1314.61 0.00
511 1314.61 0.00
512 1314.61 0.00
513 1314.61 0.00
514 1314.61 0.00
515 1314.61 0.00
516 1314.61 0.00
517 1314.61 0.00
518 1314.61 0.00
519 1314.61 0.00
520 1314.61 0.00
521 1314.61 0.00
522 1314.61 0.00
523 1314.61 0.00
524 1314.61 0.00
525 1314.61 0.00
526 1314.61 0.00
527 1314.61 0.00
528 1314.61 0.00
529 1314.61 0.00
530 1314.61 0.00
531 1314.61 0.00
532 1314.61 0.00
533 1314.61 0.00
534 1314.61 0.00
535 1314.61 0.00
536 1314.61 0.00
537 1314.61 0.00
538 1314.61 0.00
539 1314.61 0.00
540 1314.61 0.00
541 1314.61 0.00
542 1314.61 0.00
543 1314.61 0.00
544 1314.61 0.00
545 1314.61 0.00
546 1314.61 0.00
547 1314.61 0.00
548 1314.61 0.00
549 1314.61 0.00
550 1314.61 0.00
551 1314.61 0.00
552 1314.61 0.00
553 1314.61 0.00
554 1314.61 0.00
555 1314.61 0.00
556 1314.61 0.00
557 1314.61 0.00
558 1314.61 0.00
559 1314.61 0.00
560 1314.61 0.00
561 1314.61 0.00
562 1314.61 0.00
563 1314.61 0.00
564 1314.61 0.00
565 1314.61 0.00
566 1314.61 0.00
567 1314.61 0.00
568 1314.61 0.00
569 1314.61 0.00
570 1314.61 0.00
571 1314.61 0.00
572 1314.61 0.00
573 1314.61 0.00
574 1314.61 0.00
575 1314.61 0.00
576 1314.61 0.00
577 1314.61 0.00
578 1314.61 0.00
579 1314.61 0.00
580 1314.61 0.00
581 1314.61 0.00
582 1314.61 0.00
583 1314.61 0.00
584 1314.61 0.00
585 1314.61 0.00
586 1314.61 0.00
587 1314.61 0.00
588 1314.61 0.00
589 1314.61 0.00
590 1314.61 0.00
591 1314.61 0.00
592 1314.61 0.00
593 1314.61 0.00
594 1314.61 0.00
595 1314.61 0.00
596 1314.61 0.00
597 1314.61 0.00
598 1314.61 0.00
599 1314.61 0.00
600 1314.61 0.00
601 1314.61 0.00
602 1314.61 0.00
603 1314.61 0.00
604 1314.61 0.00
605 1314.61 0.00
606 1314.61 0.00
607 1314.61 0.00
608 1314.61 0.00
609 1314.61 0.00
610 1314.61 0.00
611 1314.61 0.00
612 1314.61 0.00
613 1314.61 0.00
614 1314.61 0.00
615 1314.61 0.00
616 1314.61 0.00
617 1314.61 0.00
618 1314.61 0.00
619 1314.61 0.00
620 1314.61 0.00
621 1314.61 0.00
622 1314.61 0.00
623 1314.61 0.00
624 1314.61 0.00
625 1314.61 0.00
626 1314.61 0.00
627 1314.61 0.00
628 1314.61 0.00
629 1314.61 0.00
630 1314.61 0.00
631 1314.61 0.00
632 1314.61 0.00
633 1314.61 0.00
634 1314.61 0.00
635 1314.61 0.00
636 1314.61 0.00
637 1314.61 0.00
638 1314.61 0.00
639 1314.61 0.00
640 1314.61 0.00
641 1314.61 0.00
642 1314.61 0.00
643 1314.61 0.00
644 1314.61 0.00
645 1314.61 0.00
646 1314.61 0.00
647 1314.61 0.00
648 1314.61 0.00
649 1314.61 0.00
650 1314.61 0.00
651 1314.61 0.00
652 1314.61 0.00
653 1314.61 0.00
654 1314.61 0.00
655 1314.61 0.00
656 1314.61 0.00
657 1314.61 0.00
658 1314.61 0.00
659 1314.61 0.00
660 1314.61 0.00
661 1314.61 0.00
662 1314.61 0.00
663 1314.61 0.00
664 1314.61 0.00
665 1314.61 0.00
666 1314.61 0.00
667 1314.61 0.00
668 1314.61 0.00
669 1314.61 0.00
670 1314.61 0.00
671 1314.61 0.00
672 1314.61 0.00
673 1314.61 0.00
674 1314.61 0.00
675 1314.61 0.00
676 1314.61 0.00
677 1314.61 0.00
678 1314.61 0.00
679 1314.61 0.00
680 1314.61 0.00
681 1314.61 0.00
682 1314.61 0.00
683 1314.61 0.00
684 1314.61 0.00
685 1314.61 0.00
686 1314.61 0.00
687 1314.61 0.00
688 1314.61 0.00
689 1314.61 0.00
690 1314.61 0.00
691 1314.61 0.00
692 1314.61 0.00
693 1314.61 0.00
694 1314.61 0.00
695 1314.61 0.00
696 1314.61 0.00
697 1314.61 0.00
698 1314.61 0.00
699 1314.61 0.00
700 1314.61 0.00
701 1314.61 0.00
702 1314.61 0.00
703 1314.61 0.00
704 1314.61 0.00
705 1314.61 0.00
706 1314.61 0.00
707 1314.61 0.00
708 1314.61 0.00
709 1314.61 0.00
710 1314.61 0.00
711 1314.61 0.00
712 1314.61 0.00
713 1314.61 0.00
714 1314.61 0.00
715 1314.61 0.00
716 1314.61 0.00
717 1314.61 0.00
718 1314.61 0.00
719 1314.61 0.00
720 1314.61 0.00
721 1314.61 0.00
722 1314.61 0.00
723 1314.61 0.00
724 1314.61 0.00
725 1314.61 0.00
726 1314.61 0.00
727 1314.61 0.00
728 1314.61 0.00
729 1314.61 0.00
730 1314.61 0.00
731 1314.61 0.00
732 1314.61 0.00
733 1314.61 0.00
734 1314.61 0.00
735 1314.61 0.00
736 1314.61 0.00
737 1314.61 0.00
738 1314.61 0.00
739 1314.61 0.00
740 1314.61 0.00
741 1314.61 0.00
742 1314.61 0.00
743 1314.61 0.00
744 1314.61 0.00
745 1314.61 0.00
746 1314.61 0.00
747 1314.61 0.00
748 1314.61 0.00
749 1314.61 0.00
750 1314.61 0.00
751 1314.61 0.00
752 1314.61 0.00
753 1314.61 0.00
754 1314.61 0.00
755 1314.61 0.00
756 1314.61 0.00
757 1314.61 0.00
758 1314.61 0.00
759 1314.61 0.00
760 1314.61 0.00
761 1314.61 0.00
762 1314.61 0.00
763 1314.61 0.00
764 1314.61 0.00
765 1314.61 0.00
766 1314.61 0.00
767 1314.61 0.00
768 1314.61 0.00
769 1314.61 0.00
770 1314.61 0.00
771 1314.61 0.00
772 1314.61 0.00
773 1314.61 0.00
774 1314.61 0.00
775 1314.61 0.00
776 1314.61 0.00
777 1314.61 0.00
778 1314.61 0.00
779 1314.61 0.00
780 1314.61 0.00
781 1314.61 0.00
782 1314.61 0.00
783 1314.61 0.00
784 1314.61 0.00
785 1314.61 0.00
786 1314.61 0.00
787 1314.61 0.00
788 1314.61 0.00
789 1314.61 0.00
790 1314.61 0.00
791 1314.61 0.00
792 1314.61 0.00
793 1314.61 0.00
794 1314.61 0.00
795 1314.61 0.00
796 1314.61 0.00
797 1314.61 0.00
798 1314.61 0.00
799 1314.61 0.00
800 1314.61 0.00
801 1314.61 0.00
802 1314.61 0.00
803 1314.61 0.00
804 1314.61 0.00
805 1314.61 0.00
806 1314.61 0.00
807 1314.61 0.00
808 1314.61 0.00
809 1314.61 0.00
810 1314.61 0.00
811 1314.61 0.00
812 1314.61 0.00
813 1314.61 0.00
814 1314.61 0.00
815 1314.61 0.00
816 1314.61 0.00
817 1314.61 0.00
818 1314.61 0.00
819 1314.61 0.00
820 1314.61 0.00
821 1314.61 0.00
822 1314.61 0.00
823 1314.61 0.00
824 1314.61 0.00
825 1314.61 0.00
826 1314.61 0.00
827 1314.61 0.00
828 1314.61 0.00
829 1314.61 0.00
830 1314.61 0.00
831 1314.61 0.00
832 1314.61 0.00
833 1314.61 0.00
834 1314.61 0.00
835 1314.61 0.00
836 1314.61 0.00
837 1314.61 0.00
838 1314.61 0.00
839 1314.61 0.00
